year,area_fips,area_title,industry_group,annual_avg_emplvl,total_annual_wages_2015,avg_annual_pay_2015
2009,01001,"Autauga County, Alabama",crops,74,1914966.40645,25877.9244115
2009,01001,"Autauga County, Alabama",total,11004,379605928.152,34497.0854373
2009,01003,"Baldwin County, Alabama",crops,500,17094643.8189,34189.2876378
2009,01003,"Baldwin County, Alabama",total,58948,2001743874.99,33957.7911887
2009,01005,"Barbour County, Alabama",crops,35,971403.425535,27754.3835867
2009,01005,"Barbour County, Alabama",total,9462,310435775.196,32808.6847597
2009,01007,"Bibb County, Alabama",total,4037,139341265.164,34516.0428943
2009,01009,"Blount County, Alabama",crops,0,0.0,
2009,01009,"Blount County, Alabama",total,8603,277709232.582,32280.5105873
2009,01011,"Bullock County, Alabama",crops,154,9672282.97719,62807.0323194
2009,01011,"Bullock County, Alabama",total,2991,97346567.292,32546.4952497
2009,01013,"Butler County, Alabama",crops,0,0.0,
2009,01013,"Butler County, Alabama",total,6047,188076591.415,31102.4626121
2009,01015,"Calhoun County, Alabama",crops,0,0.0,
2009,01015,"Calhoun County, Alabama",total,47399,1925246345.65,40617.8684287
2009,01017,"Chambers County, Alabama",crops,0,0.0,
2009,01017,"Chambers County, Alabama",total,7248,244526854.464,33737.1487947
2009,01019,"Cherokee County, Alabama",crops,160,3561474.933,22259.2183313
2009,01019,"Cherokee County, Alabama",total,4870,155302863.086,31889.7049457
2009,01021,"Chilton County, Alabama",crops,79,1277939.9203,16176.4546874
2009,01021,"Chilton County, Alabama",total,8324,270543792.487,32501.6569542
2009,01023,"Choctaw County, Alabama",total,3531,169978292.112,48138.8536143
2009,01025,"Clarke County, Alabama",total,8458,302376786.615,35750.3885806
2009,01027,"Clay County, Alabama",total,3781,118652867.844,31381.3456346
2009,01029,"Cleburne County, Alabama",crops,0,0.0,
2009,01029,"Cleburne County, Alabama",total,2444,86258832.1488,35294.1211738
2009,01031,"Coffee County, Alabama",crops,35,995246.466106,28435.6133173
2009,01031,"Coffee County, Alabama",total,14713,465966134.645,31670.3686974
2009,01033,"Colbert County, Alabama",crops,30,775488.653788,25849.6217929
2009,01033,"Colbert County, Alabama",total,21028,852750155.631,40553.0794955
2009,01035,"Conecuh County, Alabama",crops,0,0.0,
2009,01035,"Conecuh County, Alabama",total,3321,114958309.953,34615.570597
2009,01037,"Coosa County, Alabama",total,1517,52087092.6619,34335.5917349
2009,01039,"Covington County, Alabama",crops,43,940794.952578,21878.9523855
2009,01039,"Covington County, Alabama",total,12504,419024676.322,33511.2505056
2009,01041,"Crenshaw County, Alabama",total,3349,110303432.899,32936.2295907
2009,01043,"Cullman County, Alabama",crops,35,602244.984037,17206.9995439
2009,01043,"Cullman County, Alabama",total,25543,909505408.79,35606.8358764
2009,01045,"Dale County, Alabama",crops,0,0.0,
2009,01045,"Dale County, Alabama",total,18080,896485671.605,49584.3844914
2009,01047,"Dallas County, Alabama",crops,48,1140500.57558,23760.428658
2009,01047,"Dallas County, Alabama",total,13489,469150985.412,34780.26432
2009,01049,"DeKalb County, Alabama",crops,0,0.0,
2009,01049,"DeKalb County, Alabama",total,20433,706807914.972,34591.4899903
2009,01051,"Elmore County, Alabama",crops,0,0.0,
2009,01051,"Elmore County, Alabama",total,17551,588989612.09,33558.7494781
2009,01053,"Escambia County, Alabama",crops,27,783538.689907,29019.9514781
2009,01053,"Escambia County, Alabama",total,12223,435155637.592,35601.3775335
2009,01055,"Etowah County, Alabama",crops,0,0.0,
2009,01055,"Etowah County, Alabama",total,33591,1211483079.08,36065.7044767
2009,01057,"Fayette County, Alabama",total,4127,123538676.443,29934.2564679
2009,01059,"Franklin County, Alabama",crops,0,0.0,
2009,01059,"Franklin County, Alabama",total,9755,315692552.611,32362.127382
2009,01061,"Geneva County, Alabama",crops,49,1307711.13649,26687.9823773
2009,01061,"Geneva County, Alabama",total,5270,161225530.254,30593.0797446
2009,01063,"Greene County, Alabama",crops,0,0.0,
2009,01063,"Greene County, Alabama",total,2184,76751295.4583,35142.5345505
2009,01065,"Hale County, Alabama",crops,0,0.0,
2009,01065,"Hale County, Alabama",total,2996,98674194.7568,32935.3120016
2009,01067,"Henry County, Alabama",crops,58,1633198.57386,28158.596101
2009,01067,"Henry County, Alabama",total,3437,126818485.163,36898.0172136
2009,01069,"Houston County, Alabama",crops,120,2401048.08799,20008.7340666
2009,01069,"Houston County, Alabama",total,47087,1800414353.81,38235.9112666
2009,01071,"Jackson County, Alabama",crops,0,0.0,
2009,01071,"Jackson County, Alabama",total,15684,548344011.022,34962.0001927
2009,01073,"Jefferson County, Alabama",crops,0,0.0,
2009,01073,"Jefferson County, Alabama",total,337663,17186155177.0,50897.3597255
2009,01075,"Lamar County, Alabama",total,3168,107994699.55,34089.2359691
2009,01077,"Lauderdale County, Alabama",crops,0,0.0,
2009,01077,"Lauderdale County, Alabama",total,30005,977585140.834,32580.7412376
2009,01079,"Lawrence County, Alabama",crops,0,0.0,
2009,01079,"Lawrence County, Alabama",total,6013,259506545.695,43157.5828529
2009,01081,"Lee County, Alabama",crops,0,0.0,
2009,01081,"Lee County, Alabama",total,47139,1737343418.74,36855.7546563
2009,01083,"Limestone County, Alabama",crops,190,5458503.27873,28728.9646249
2009,01083,"Limestone County, Alabama",total,20531,871317239.2,42439.1037553
2009,01085,"Lowndes County, Alabama",crops,12,285621.643791,23801.8036492
2009,01085,"Lowndes County, Alabama",total,2874,108749991.317,37839.2454131
2009,01087,"Macon County, Alabama",crops,0,0.0,
2009,01087,"Macon County, Alabama",total,6084,221902364.915,36473.1040294
2009,01089,"Madison County, Alabama",crops,70,1819689.23636,25995.5605195
2009,01089,"Madison County, Alabama",total,178819,9970999124.75,55760.2890339
2009,01091,"Marengo County, Alabama",crops,0,0.0,
2009,01091,"Marengo County, Alabama",total,6998,249948272.127,35717.1009042
2009,01093,"Marion County, Alabama",total,9594,320736287.941,33430.9243215
2009,01095,"Marshall County, Alabama",crops,0,0.0,
2009,01095,"Marshall County, Alabama",total,33815,1109208094.77,32802.2503258
2009,01097,"Mobile County, Alabama",crops,604,17595891.1146,29132.2700573
2009,01097,"Mobile County, Alabama",total,165897,7200634858.51,43404.2499775
2009,01099,"Monroe County, Alabama",crops,0,0.0,
2009,01099,"Monroe County, Alabama",total,6977,280246857.353,40167.2434217
2009,01101,"Montgomery County, Alabama",crops,113,2157915.56871,19096.5979532
2009,01101,"Montgomery County, Alabama",total,131364,5834872992.95,44417.5953301
2009,01103,"Morgan County, Alabama",crops,0,0.0,
2009,01103,"Morgan County, Alabama",total,45276,1844859195.27,40746.9563404
2009,01105,"Perry County, Alabama",crops,0,0.0,
2009,01105,"Perry County, Alabama",total,2264,69362339.8364,30637.0758995
2009,01107,"Pickens County, Alabama",crops,0,0.0,
2009,01107,"Pickens County, Alabama",total,3838,124145266.768,32346.343608
2009,01109,"Pike County, Alabama",crops,0,0.0,
2009,01109,"Pike County, Alabama",total,13629,488946008.767,35875.4133661
2009,01111,"Randolph County, Alabama",total,4856,147991014.616,30475.9091054
2009,01113,"Russell County, Alabama",crops,0,0.0,
2009,01113,"Russell County, Alabama",total,12672,436291679.058,34429.583259
2009,01115,"St. Clair County, Alabama",crops,61,1376912.94946,22572.3434337
2009,01115,"St. Clair County, Alabama",total,15671,534408437.532,34101.7444663
2009,01117,"Shelby County, Alabama",crops,53,2304073.20858,43473.0794073
2009,01117,"Shelby County, Alabama",total,71023,3369191449.93,47438.033453
2009,01119,"Sumter County, Alabama",total,3349,117589488.78,35111.8210748
2009,01121,"Talladega County, Alabama",crops,28,785981.977489,28070.7849103
2009,01121,"Talladega County, Alabama",total,26107,1090589030.59,41773.8166234
2009,01123,"Tallapoosa County, Alabama",crops,0,0.0,
2009,01123,"Tallapoosa County, Alabama",total,12849,434019712.106,33778.4817578
2009,01125,"Tuscaloosa County, Alabama",crops,7,458382.620651,65483.2315216
2009,01125,"Tuscaloosa County, Alabama",total,82002,3513653766.34,42848.3910921
2009,01127,"Walker County, Alabama",crops,0,0.0,
2009,01127,"Walker County, Alabama",total,18376,647437489.171,35232.7758582
2009,01129,"Washington County, Alabama",total,3639,199231699.219,54749.0242427
